Department,Office,Full Name,Acronym,Type,RIFANS Code
Judicial,Judicial Technology Center,Judicial: Judicial Technology Center,,State,99
Judicial,Jury Commission,Judicial: Jury Commission,,State,99
Judicial,Magistrate,Judicial: Magistrate,,State,99
Judicial,Superior Court,Judicial: Superior Court,,State,99
Judicial,Supreme Court,Judicial: Supreme Court,,State,99
Judicial,Traffic Tribunal,Judicial: Traffic Tribunal,,State,99
Judicial,Workers' Compensation Court,Judicial: Workers' Compensation Court,,State,99
Legislative,Auditor General,Legislative: Auditor General,,State,
Legislative,Capitol Television,Legislative: Capitol Television,,State,
Legislative,General Assembly,Legislative: General Assembly,,State,11
Legislative,House Fiscal Committee Staff,Legislative: House Fiscal Committee Staff,,State,11
Legislative,House of Representatives,Legislative: House of Representatives,,State,11
Legislative,House Staff,Legislative: House Staff,,State,11
Legislative,Joint Committee on Legislative Services,Legislative: Joint Committee on Legislative Services,,State,11
Legislative,Legislative Council,Legislative: Legislative Council,,State,11
Legislative,Legislative Data,Legislative: Legislative Data,,State,11
Legislative,Senate,Legislative: Senate,,State,11
Legislative,,Legislative: ,,State,
Office of  Higher Education,Account Resolution,Office of  Higher Education: Account Resolution,,State,
Office of  Higher Education,Administration,Office of  Higher Education: Administration,,State,
Office of  Higher Education,Collection,Office of  Higher Education: Collection,,State,
Office of  Higher Education,Commissioner's Office,Office of  Higher Education: Commissioner's Office,,State,
Office of  Higher Education,Finance,Office of  Higher Education: Finance,,State,
Office of  Higher Education,Information Technology,Office of  Higher Education: Information Technology,,State,
Office of  Higher Education,Loan,Office of  Higher Education: Loan,,State,
Office of  Higher Education,Office of Post-Secondary Commissioner,Office of  Higher Education: Office of Post-Secondary Commissioner,,State,
Office of  Higher Education,Program/Planning,Office of  Higher Education: Program/Planning,,State,
Office of  Higher Education,Scholarship And Grant,Office of  Higher Education: Scholarship And Grant,,State,
Office of  Higher Education,,Office of  Higher Education: ,,State,
Other,Board of Governors For Higher Education ,Other: Board of Governors For Higher Education ,,State,85
Other,Capital Center Commission,Other: Capital Center Commission,,Quasi,
Other,Coastal Resource Management Council,Other: Coastal Resource Management Council,CRMC,Quasi,50
Other,Housing Resources Commission,Other: Housing Resources Commission,,Quasi,
Other,Narragansett Bay Water Quality Management District Commission,Other: Narragansett Bay Water Quality Management District Commission,,Quasi,
Other,Public Telecommunication Authority,Other: Public Telecommunication Authority,,State,53
Other,Quonset Development Corporation,Other: Quonset Development Corporation,,Quasi,
Other,Resource Recovery Corporation,Other: Resource Recovery Corporation,,Quasi,
Other,Rhode Island Commerce Corporation *,Other: Rhode Island Commerce Corporation *,,Quasi,
Other,Rhode Island Convention Center Authority,Other: Rhode Island Convention Center Authority,,Quasi,
Other,Rhode Island Health and Educational Building Corporation,Other: Rhode Island Health and Educational Building Corporation,,Quasi,
Other,Rhode Island Higher Education Assistance Authority ,Other: Rhode Island Higher Education Assistance Authority ,,State,54
Other,Rhode Island Housing and Mortgage Finance Corporation,Other: Rhode Island Housing and Mortgage Finance Corporation,,Quasi,
Other,Rhode Island Industrial Facilities Corporation,Other: Rhode Island Industrial Facilities Corporation,,Quasi,
Other,Rhode Island Industrial-Recreational Building Authority,Other: Rhode Island Industrial-Recreational Building Authority,,Quasi,
Other,Rhode Island Infrastructure Bank,Other: Rhode Island Infrastructure Bank,,Quasi,
Other,Rhode Island Public Transit Authority,Other: Rhode Island Public Transit Authority,,Quasi,
Other,Rhode Island Student Loan Authority,Other: Rhode Island Student Loan Authority,,Quasi,
Other,Rhode Island Turnpike and Bridge Authority,Other: Rhode Island Turnpike and Bridge Authority,,Quasi,
Other,Rhode Island Water Resources Board - Corporate,Other: Rhode Island Water Resources Board - Corporate,,Quasi,
Other,RI Airport Corporation,Other: RI Airport Corporation,,Quasi,
Other,The College Crusade of Rhode Island,Other: The College Crusade of Rhode Island,,Quasi,
Other,Water Resources Board,Other: Water Resources Board,,Quasi,51
"Other Committees, Agencies",Board of Elections,"Other Committees, Agencies: Board of Elections",,State,42
"Other Committees, Agencies",Central Management,"Other Committees, Agencies: Central Management",,State,
"Other Committees, Agencies",Coastal Resource Management Council,"Other Committees, Agencies: Coastal Resource Management Council",,State,
"Other Committees, Agencies",Commission for Human Rights,"Other Committees, Agencies: Commission for Human Rights",,State,
"Other Committees, Agencies",Division Of Public Utilities,"Other Committees, Agencies: Division Of Public Utilities",,State,
"Other Committees, Agencies",Office of the Child Advocate,"Other Committees, Agencies: Office of the Child Advocate",,State,45
"Other Committees, Agencies",Office of the Mental Health Advocate,"Other Committees, Agencies: Office of the Mental Health Advocate",,State,47
"Other Committees, Agencies",Office of the Public Defender,"Other Committees, Agencies: Office of the Public Defender",,State,49
"Other Committees, Agencies",Public Utilities Commission,"Other Committees, Agencies: Public Utilities Commission",,State,
"Other Committees, Agencies",Rhode Island Atomic Energy Commission,"Other Committees, Agencies: Rhode Island Atomic Energy Commission",,State,52
"Other Committees, Agencies",Rhode Island Ethics Commission,"Other Committees, Agencies: Rhode Island Ethics Commission",,State,43
"Other Committees, Agencies",Rhode Island Nuclear Science Center,"Other Committees, Agencies: Rhode Island Nuclear Science Center",,State,
"Other Committees, Agencies",Unknown,"Other Committees, Agencies: Unknown",,State,
"Other Committees, Agencies",,"Other Committees, Agencies: ",,State,
Public Utilities Commission,Division Of Public Utilities,Public Utilities Commission: Division Of Public Utilities,PUC,State,44
Public Utilities Commission,,Public Utilities Commission: ,PUC,State,44
Secretary Of State,Administration,Secretary Of State: Administration,SOS,State,65
Secretary Of State,Archives,Secretary Of State: Archives,SOS,State,65
Secretary Of State,Corporations,Secretary Of State: Corporations,SOS,State,65
Secretary Of State,Elections,Secretary Of State: Elections,SOS,State,65
Secretary Of State,Information Technology,Secretary Of State: Information Technology,SOS,State,65
Secretary Of State,Library,Secretary Of State: Library,SOS,State,65
Secretary Of State,Public Information,Secretary Of State: Public Information,SOS,State,65
Secretary Of State,Records Center,Secretary Of State: Records Center,SOS,State,65
Secretary Of State,Secretary Of State,Secretary Of State: Secretary Of State,SOS,State,65
Secretary Of State,,Secretary Of State: ,SOS,State,65
State Colleges,Community College Of Rhode Island,State Colleges: Community College Of Rhode Island,,State,
State Colleges,Rhode Island College,State Colleges: Rhode Island College,,State,
State Colleges,University of Rhode Island,State Colleges: University of Rhode Island,,State,
State Colleges,,State Colleges: ,,State,
Treasury Department,Administration,Treasury Department: Administration,,State,67
Treasury Department,Business Office,Treasury Department: Business Office,,State,67
Treasury Department,College Bound Fund,Treasury Department: College Bound Fund,,State,67
Treasury Department,Crime Victim Compensation Program,Treasury Department: Crime Victim Compensation Program,,State,67
Treasury Department,Employees’ Retirement System of Rhode Island,Treasury Department: Employees’ Retirement System of Rhode Island,,State,67
Treasury Department,Investments and Finance Division,Treasury Department: Investments and Finance Division,,State,67
Treasury Department,Office of the General Treasurer,Treasury Department: Office of the General Treasurer,,State,67
Treasury Department,Precious Metals,Treasury Department: Precious Metals,,State,67
Treasury Department,Reconciliation,Treasury Department: Reconciliation,,State,67
Treasury Department,Unclaimed Property,Treasury Department: Unclaimed Property,,State,67
Treasury Department,,Treasury Department: ,,State,67
